id,team,year,career_game_count,opponent,round,result,jersey_num,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assist,percentage_of_game_played,player_id,match_date,fantasy_points,margin
37816,Port Adelaide Power,2008.0,127.0,Melbourne Demons,21,W,25.0,14.0,4.0,20.0,29.0,1.0,0.0,0.0,6.0,3.0,3.0,5.0,0.0,2.0,0.0,3.0,10.0,22.0,0.0,0.0,1.0,0.0,1.0,85.0,43537.0,2008-08-23,126.0,78.0
24437,Richmond Tigers,2008.0,132.0,Fremantle Dockers,21,W,1.0,13.0,5.0,3.0,11.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,2.0,1.0,0.0,3.0,2.0,13.0,0.0,0.0,3.0,3.0,0.0,97.0,44590.0,2008-08-23,79.0,7.0
93667,Richmond Tigers,2008.0,28.0,Fremantle Dockers,21,W,20.0,7.0,3.0,3.0,5.0,3.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,3.0,0.0,0.0,1.0,84.0,44538.0,2008-08-23,64.0,7.0
51142,Richmond Tigers,2008.0,25.0,Fremantle Dockers,21,W,8.0,8.0,4.0,5.0,8.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,9.0,5.0,0.0,0.0,2.0,0.0,1.0,86.0,44785.0,2008-08-23,54.0,7.0
95363,Richmond Tigers,2008.0,69.0,Fremantle Dockers,21,W,41.0,10.0,1.0,5.0,10.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,4.0,12.0,0.0,0.0,1.0,1.0,0.0,73.0,43836.0,2008-08-23,51.0,7.0
72044,St Kilda Saints,2008.0,115.0,Adelaide Crows,21,W,23.0,8.0,5.0,3.0,6.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,5.0,1.0,2.0,0.0,6.0,5.0,1.0,1.0,1.0,0.0,0.0,82.0,44239.0,2008-08-24,47.0,48.0
117791,Western Bulldogs,2008.0,28.0,Essendon Bombers,21,W,19.0,7.0,3.0,7.0,9.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,9.0,1.0,1.0,1.0,0.0,0.0,74.0,44044.0,2008-08-22,46.0,46.0
50938,Western Bulldogs,2016.0,18.0,Collingwood Magpies,10,W,43.0,12.0,9.0,5.0,12.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,14.0,1.0,2.0,0.0,0.0,2.0,86.0,44759.0,2016-05-29,93.0,21.0
108332,Western Bulldogs,2008.0,71.0,Essendon Bombers,21,W,16.0,12.0,7.0,7.0,14.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,1.0,0.0,1.0,0.0,3.0,17.0,0.0,0.0,0.0,11.0,4.0,84.0,43940.0,2008-08-22,72.0,46.0
57677,Adelaide Crows,2009.0,9.0,West Coast Eagles,21,W,29.0,2.0,2.0,9.0,6.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,4.0,0.0,0.0,59.0,44889.0,2009-08-22,38.0,74.0
11953,Adelaide Crows,2009.0,52.0,West Coast Eagles,21,W,17.0,15.0,4.0,19.0,29.0,0.0,0.0,0.0,6.0,0.0,3.0,8.0,2.0,0.0,1.0,0.0,13.0,20.0,1.0,0.0,2.0,0.0,0.0,72.0,45149.0,2009-08-22,116.0,74.0
586135,Fremantle Dockers,1996.0,19.0,West Coast Eagles,1,L,8.0,9.0,7.0,11.0,15.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45734.0,1996-03-31,60.0,-22.0
533969,West Coast Eagles,1995.0,52.0,Carlton Blues,21,L,6.0,10.0,4.0,8.0,13.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,5.0,9.0,0.0,0.0,2.0,0.0,0.0,84.0,45331.0,1995-08-27,71.0,-1.0
112959,Brisbane Lions,2009.0,46.0,Port Adelaide Power,21,W,5.0,7.0,4.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,2.0,0.0,1.0,64.0,43992.0,2009-08-22,57.0,15.0
8451,Brisbane Lions,2009.0,134.0,Port Adelaide Power,21,W,9.0,13.0,8.0,7.0,15.0,1.0,1.0,0.0,7.0,2.0,4.0,2.0,0.0,1.0,0.0,0.0,7.0,13.0,1.0,1.0,2.0,1.0,1.0,91.0,44421.0,2009-08-22,113.0,15.0
